Table,Column,DataType,PK,FK,Unique,NotNull,Default,AutoInc,Description
assignments,id,BIGINT,,,,,,Y,
assignments,period_id,BIGINT,,evaluation_periods.id,Y,Y,,,
assignments,evaluator_id,BIGINT,,users.id,Y,Y,,,
assignments,evaluatee_id,BIGINT,,users.id,Y,Y,,,
assignments,dept_id,INT,,departments.id,,,,,
assignments,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
attachments,id,BIGINT,,,,,,Y,
attachments,period_id,BIGINT,,evaluation_periods.id,,Y,,,
attachments,evaluatee_id,BIGINT,,users.id,,Y,,,
attachments,indicator_id,BIGINT,,indicators.id,,Y,,,
attachments,evidence_type_id,INT,,evidence_types.id,,Y,,,
attachments,file_name,VARCHAR(255),,,,Y,,,
attachments,mime_type,VARCHAR(100),,,,Y,,,
attachments,size_bytes,INT,,,,Y,,,
attachments,storage_path,VARCHAR(1024),,,,Y,,,
attachments,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
departments,id,INT,,,,,,Y,
departments,code,VARCHAR(20),,,,Y,,,
departments,name_th,VARCHAR(255),,,,Y,,,
departments,category_id,INT,,vocational_categories.id,,Y,,,
departments,org_group_id,INT,,org_groups.id,,Y,,,
dept_fields,dept_id,INT,Y,departments.id,,Y,,,
dept_fields,field_code,VARCHAR(10),Y,vocational_fields.code,,Y,,,
evaluation_periods,id,BIGINT,,,,,,Y,
evaluation_periods,code,VARCHAR(30),,,,Y,,,
evaluation_periods,name_th,VARCHAR(255),,,,Y,,,
evaluation_periods,buddhist_year,INT,,,,Y,,,
evaluation_periods,start_date,DATE,,,,Y,,,
evaluation_periods,end_date,DATE,,,,Y,,,
evaluation_periods,is_active,TINYINT(1),,,,Y,1,,
evaluation_periods,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
evaluation_results,id,BIGINT,,,,,,Y,
evaluation_results,period_id,BIGINT,,evaluation_periods.id,,Y,,,
evaluation_results,evaluatee_id,BIGINT,,users.id,,Y,,,
evaluation_results,evaluator_id,BIGINT,,users.id,,Y,,,
evaluation_results,topic_id,BIGINT,,evaluation_topics.id,,Y,,,
evaluation_results,indicator_id,BIGINT,,indicators.id,,Y,,,
evaluation_results,score,DECIMAL(5,,,,,,,
evaluation_results,value_yes_no,TINYINT(1),,,,,,,
evaluation_results,notes,TEXT,,,,,,,
evaluation_results,status,ENUM('draft',,,,Y,'draft',,
evaluation_results,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
evaluation_results,updated_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
evaluation_topics,id,BIGINT,,,,,,Y,
evaluation_topics,code,VARCHAR(30),,,,Y,,,
evaluation_topics,title_th,VARCHAR(255),,,,Y,,,
evaluation_topics,description,TEXT,,,,,,,
evaluation_topics,weight,DECIMAL(5,,,,Y,0.00,,
evaluation_topics,active,TINYINT(1),,,,Y,1,,
evaluation_topics,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
evidence_types,id,INT,,,,,,Y,
evidence_types,code,VARCHAR(30),,,,Y,,,
evidence_types,name_th,VARCHAR(255),,,,Y,,,
evidence_types,description,TEXT,,,,,,,
indicator_evidence,indicator_id,BIGINT,Y,indicators.id,,Y,,,
indicator_evidence,evidence_type_id,INT,Y,evidence_types.id,,Y,,,
indicators,id,BIGINT,,,,,,Y,
indicators,topic_id,BIGINT,,evaluation_topics.id,,Y,,,
indicators,code,VARCHAR(40),,,,Y,,,
indicators,name_th,VARCHAR(255),,,,Y,,,
indicators,description,TEXT,,,,,,,
indicators,type,ENUM('score_1_4',,,,Y,'score_1_4',,
indicators,weight,DECIMAL(5,,,,Y,1.00,,
indicators,min_score,TINYINT,,,,Y,1,,
indicators,max_score,TINYINT,,,,Y,4,,
indicators,active,TINYINT(1),,,,Y,1,,
indicators,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
org_groups,id,INT,,,,,,Y,
org_groups,code,VARCHAR(20),,,,Y,,,
org_groups,name_th,VARCHAR(255),,,,Y,,,
users,id,BIGINT,,,,,,Y,
users,email,VARCHAR(255),,,,Y,,,
users,password,VARCHAR(255),,,,Y,,,
users,role,ENUM('admin',,,,Y,,,
users,status,ENUM('active',,,,Y,'active',,
users,department_id,INT,,departments.id,,,,,
users,org_group_id,INT,,org_groups.id,,,,,
users,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
users,updated_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
vocational_categories,id,INT,,,,,,Y,
vocational_categories,code,VARCHAR(10),,,,Y,,,
vocational_categories,name_th,VARCHAR(255),,,,Y,,,
vocational_categories,created_at,TIMESTAMP,,,,Y,CURRENT_TIMESTAMP,,
vocational_fields,code,VARCHAR(10),,,,,,,
vocational_fields,name_th,VARCHAR(255),,,,Y,,,
vocational_fields,category_id,INT,,vocational_categories.id,,Y,,,
